14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Pro, 8 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
14.2" Ноутбук Apple MacBook Pro серый [3024x1964, mini-LED, Apple M1 Pro, 8 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 Pro 14-Core , macOS]
15.6" Ноутбук Acer Nitro 5 AN515-45-R4BX черный [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, без ОС]
17.3" Ноутбук ASUS ROG Strix SCAR 17 G733 G733QM-K4052T черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
17.3" Ноутбук HP OMEN 17-ck0035ur черный [Quad HD 2K (2560x1440), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук ASUS ROG STRIX G15 G513QR-HF012T серый [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
17.3" Ноутбук MSI GF76 Katana 12UGS-068RU черный [Full HD (1920x1080), IPS, Intel Core i7 12700H, 6 ядер, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 Ti для ноутбуков 8 ГБ, Windows 11 Home]
15.6" Ноутбук MSI GP66 11UH-054XRU черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук Acer Nitro 5 AN515-45-R671 черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук Gigabyte Aero 15 OLED KD черный [Ultra HD 4K (3840x2160), OLED, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Pro]
15.6" Ноутбук MSI GS66 11UG-264RU черный [Quad HD 2K (2560x1440), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
16" Ноутбук MSI Creator Z16 A11UE-081RU серый [2560x1600, IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
17.3" Ноутбук HP OMEN 17-ck0037ur черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
13.4" Ультрабук Dell XPS 9310-1519 серебристый [1920x1200, IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 1024 ГБ, Intel Iris Xe Graphics , Windows 11 Home]
14" Ноутбук ASUS ZenBook DUO 14 UX482EG-HY286T синий [Full HD (1920x1080), IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce MX450 2 ГБ, Windows 10 Home]
15.6" Ноутбук MSI Delta 15 A5EFK-038RU серый [Full HD (1920x1080), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 2000 ГБ, Radeon RX 6700M 10 ГБ, Windows 10 Home]
13.3" Ноутбук Apple MacBook Pro серебристый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 1000 ГБ, Apple M1 8-core , macOS]
13.3" Ноутбук Apple MacBook Pro серый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 1000 ГБ, Apple M1 8-core , macOS]
14" Ноутбук Lenovo Yoga 9 14ITL5 черный [Ultra HD 4K (3840x2160), IPS, Intel Core i7 1185G7, 4 ядер х 3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
15.6" Ноутбук HP ENVY 15-ep1033ur серебристый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Lenovo Legion S7 15ACH6 черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 11 Home]
16" Ноутбук ASUS ROG Zephyrus M16 GU603 GU603HM-K8004T черный [2560x1600, IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Gigabyte Aorus 15P XD черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
16.1" Ноутбук HP OMEN 16-b0023ur черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
17" Ультрабук LG Gram 17 черный [2560x1600, IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 1000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
15.6" Ноутбук ASUS ROG Strix Scar 15 G533QM-HF100T черный [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HX, 8 ядер х 3.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук ASUS ROG Zephyrus G15 GA503QM-HQ153T серый [Quad HD 2K (2560x1440), IPS, AMD Ryzen 9 5900HS, 8 ядер х 3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Lenovo Legion 5 15ACH6H черный [Full HD (1920x1080), IPS, AMD Ryzen 5 5600H, 6 ядер х 3.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук Lenovo Legion 5 15ACH6H черный [Full HD (1920x1080), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук Lenovo Legion S7 15ACH6 черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3050 Ti для ноутбуков 4 ГБ, Windows 11 Home]
17.3" Ноутбук HP OMEN 17-ck0038ur черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
13.5" Ноутбук HP Spectre x360 14-ea0010ur синий [3000x2000, OLED, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 2000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
13.4" Ультрабук Dell XPS 13 9310-2576 серебристый [3840x2400, OLED, Intel Core i7 1185G7, 4 ядер х 3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
15.6" Ноутбук ASUS ROG Zephyrus G15 GA503QS-HN061T серый [Full HD (1920x1080), IPS, AMD Ryzen 7 5800HS, 8 ядер х 3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук Lenovo Legion S7 15ACH6 черный [Quad HD 2K (2560x1440), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Gigabyte Aorus 15P XD черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
17.3" Ноутбук HP OMEN 17-ck0039ur черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
17" Ультрабук LG Gram 17 черный [2560x1600, IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
13.5" Ноутбук HP Spectre x360 14-ea0008ur черный [1920x1280, IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 16 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
17.3" Ноутбук MSI GF76 Katana 12UG-066XRU черный [Full HD (1920x1080), IPS, Intel Core i7 12700H, 6 ядер, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
17.3" Ноутбук Gigabyte AORUS 17G KD черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, без ОС]
13.3" Ноутбук Apple MacBook Pro серебристый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 8-core , macOS]
13.3" Ноутбук Apple MacBook Pro серый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 512 ГБ, Apple M1 8-core , macOS]
13.4" Ультрабук Dell XPS 9310-1465 серебристый [3840x2400, OLED, Intel Core i7 1185G7, 4 ядер х 3 ГГц, RAM 16 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics , Windows 11 Home]
17.3" Ноутбук Dream Machines RT3060-17RU35 черный [Full HD (1920x1080), WVA (TN+film), AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, без ОС]
15.6" Ноутбук MSI Delta 15 A5EFK-039XRU серый [Full HD (1920x1080), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 1000 ГБ, Radeon RX 6700M 10 ГБ, без ОС]
14" Ноутбук ASUS ROG Zephyrus G14 GA401QM-HZ282T белый [Full HD (1920x1080), IPS, AMD Ryzen 9 5900HS, 8 ядер х 3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
15.6" Ноутбук Lenovo Legion 5 15ACH6H черный [Full HD (1920x1080), IPS, AMD Ryzen 7 5800H, 8 ядер х 3.2 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук MSI GF66 Katana 12UG-434XRU черный [Full HD (1920x1080), IPS, Intel Core i7 12700H, 6 ядер, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
15.6" Ноутбук MSI GP66 Leopard 11UG-285XRU черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, без ОС]
16" Ноутбук ASUS ROG Zephyrus M16 GU603 GU603HE-K8007T черный [2560x1600, IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3050 Ti для ноутбуков 4 ГБ, Windows 10 Home]
16" Ноутбук Lenovo Legion 5 Pro 16ITH6 серый [2560x1600, IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 512 ГБ, GeForce RTX 3050 Ti для ноутбуков 4 ГБ, Windows 11 Home]
14" Ноутбук ASUS ROG Zephyrus G14 GA401QM-K2100T серый [Quad HD 2K (2560x1440), IPS, AMD Ryzen 9 5900HS, 8 ядер х 3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
14" Ноутбук ASUS ZenBook DUO 14 UX482EG-HY200T синий [Full HD (1920x1080), IPS, Intel Core i7 1165G7, 4 ядер х 2.8 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce MX450 2 ГБ, Windows 10 Home]
14" Ноутбук Lenovo Yoga Slim 9 14ITL5 черный [Full HD (1920x1080), IPS, Intel Core i5 1135G7, 4 ядер х 2.4 ГГц, RAM 16 ГБ, SSD 1000 ГБ, Intel Iris Xe Graphics , Windows 10 Home]
16.1" Ноутбук HP OMEN 16-b0027ur черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 10 Home]
13.3" Ноутбук Apple MacBook Air серый [2560x1600, IPS, Apple M1, 8 ядер, RAM 16 ГБ, SSD 1000 ГБ, Apple M1 7-core , macOS]
15.6" Ноутбук Gigabyte Aorus 15P KD черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, без ОС]
15.6" Ноутбук Lenovo Legion S7 15ACH6 черный [Full HD (1920x1080), IPS, AMD Ryzen 5 5600H, 6 ядер х 3.3 ГГц, RAM 16 ГБ, SSD 1000 ГБ, GeForce RTX 3060 для ноутбуков 6 ГБ, Windows 11 Home]
